Michaela, Michael
Eloise, Louis
Brianna, Brian
Victoria, Victor
Alexandra, Alexander
Olivia, Oliver
Danielle, Daniel
Nikki, Nicholas
Patricia, Patrick
Christina, Christopher
Nicole, Nicholas
Wilhelmina, William
Theodora, Theodore
Henrietta, Henry
Stephanie, Stephen
Paul, Paula
Martina, Martin
Carla, Carl
Raphaela, Raphael
Erin, Aaron
Angela, Angelo
Kylie, Kyle
Ashley, Ash
Blaire, Blaire
Charlie, Charlie
Fran, Frank
Garnett, Garnet
Georgia, George
Jamie, James
Jo, Joe
Jordyn, Jordan
Natalie, Nate
Emily, Emille
Lucia, Lucifer
Carla, Carl
Leona, Leo
Estelle, Esteban
Samantha, Sam
Ophelia, Orpheus
Romea, Romeo
Adele, Adel
Alastria, Alaster
Alia, Ali
Alana, Alan
Anisa, Anise
Amalle, Amel
Amara, Amar
Attica, Atticus
Ayila, Ayil
Arshanne, Arshen
Araxis, Arax
Artain, Artoun
Basma, Basm
Belinda, Belin
Billie, Billy
Brenda, Bren
Connie, Conrad
Cecilia, Cecil
Chadra, Chad
Deserae, Deserey
Dyane, Dyne
Elisa, Ellis
Emma, Emmett
Fashe, Fash
Farida, Furidu
Gibraille, Gibril
Gysahla, Gysahl
Gadaryne, Gadar
Hana, Han
Harka, Harkam
Hewinn, Hewett
Hamida, Hamid
Idina, Idin
Ikrima, Ikram
Ishaam, Ishem
Javinne, Javin
Jillian, Jillen
Julia, Julius
Kendra, Ken
Karima, Kareem
Kawtara, Kawtor
Kalille, Kalil
Lorraine, Lorren
Lavita, Lavitz
LeBrianne, LeBron
Malika, Malik
Marta, Marty
Mydra, Mydr
Mendra, Mender
Moradine, Morad
Mihrine, Mihran
Norah, Norreh
Noyemi, Noyumo
Nadine, Naden
Odenphelle, Odenphal
Osmine, Osmond
Pallas, Pallos
Petra, Peter
Pylakke, Pylek
Qualna, Qualne
Rhona, Rhone
Rahma, Rahm
Selma, Selme
Shamsine, Shamsin
Shamiram, Shamirom
Shoyra, Shoyru
Sylaine, Sylone
Sasanne, Sasoun
Sarkistra, Sarkis
Sorane, Soren
Tuma, Tumas
Tavytte, Tavit
Umbra, Umber
Valaha, Valahan
Varvara, Varvare
Varas, Varos
Vramille, Vram
Vosgille, Vosgil
Wyla, Wyland
Wendy, Wendell
Wardyn, Warden
Xenobia, Xenobe
Yundere, Yunder
Zakaria, Zakar
Zania, Zeneo
Ziadine, Ziadin
Zohra, Zohru
